"Source Function / Function / Call Stack","CPU Time","Module","Function (Full)","Source File","Start Address"
"TClass::FindStreamerInfo","0.023869","[Unknown]","TClass::FindStreamerInfo(unsigned int) const","[Unknown]","0"
"edm::Ref<std::vector<TrackingVertex, std::allocator<TrackingVertex>>, TrackingVertex, edm::refhelper::FindUsingAdvance<std::vector<TrackingVertex, std::allocator<TrackingVertex>>, TrackingVertex>>::operator*","0.0238516","[Unknown]","edm::Ref<std::vector<TrackingVertex, std::allocator<TrackingVertex>>, TrackingVertex, edm::refhelper::FindUsingAdvance<std::vector<TrackingVertex, std::allocator<TrackingVertex>>, TrackingVertex>>::operator*(void) const","Ref.h","0"
"std::__1::vector<llvm::DWARFAbbreviationDeclaration, std::__1::allocator<llvm::DWARFAbbreviationDeclaration>>::assign<llvm::DWARFAbbreviationDeclaration*>","0.023842","[Unknown]","std::__1::enable_if<(__is_forward_iterator<llvm::DWARFAbbreviationDeclaration*>::value) && (is_constructible<llvm::DWARFAbbreviationDeclaration, std::__1::iterator_traits<llvm::DWARFAbbreviationDeclaration*>::reference>::value), void>::type std::__1::vector<llvm::DWARFAbbreviationDeclaration, std::__1::allocator<llvm::DWARFAbbreviationDeclaration>>::assign<llvm::DWARFAbbreviationDeclaration*>(llvm::DWARFAbbreviationDeclaration*, llvm::DWARFAbbreviationDeclaration*)","[Unknown]","0"
"std::vector<fastjet::ClusterSequence::history_element, std::allocator<fastjet::ClusterSequence::history_element>>::operator[]","0.0238001","[Unknown]","std::vector<fastjet::ClusterSequence::history_element, std::allocator<fastjet::ClusterSequence::history_element>>::operator[](unsigned long) const","stl_vector.h","0"
"Eigen::internal::scalar_sum_op<double, double>::operator()","0.0237183","[Unknown]","Eigen::internal::scalar_sum_op<double, double>::operator()(double const&, double const&) const","BinaryFunctors.h","0"
"BaseTrackerRecHit::sameDetModule","0.0237086","[Unknown]","BaseTrackerRecHit::sameDetModule(TrackingRecHit const&) const","BaseTrackerRecHit.h","0"
"std::priv::_List_base<LEVEL_CORE::INDEX<(int)9>, std::allocator<LEVEL_CORE::INDEX<(int)9>>>::clear","0.0236588","[Unknown]","std::priv::_List_base<LEVEL_CORE::INDEX<(int)9>, std::allocator<LEVEL_CORE::INDEX<(int)9>>>::clear(void)","[Unknown]","0"
"llvm::SmallVectorBase::grow_pod","0.0236336","[Unknown]","llvm::SmallVectorBase::grow_pod(void*, unsigned long, unsigned long)","[Unknown]","0"
"Phase2EndcapRing::searchNeighbors","0.0236125","[Unknown]","Phase2EndcapRing::searchNeighbors(TrajectoryStateOnSurface const&, Propagator const&, MeasurementEstimator const&, SubLayerCrossing const&, float, std::vector<DetGroup, std::allocator<DetGroup>>&, std::vector<DetGroup, std::allocator<DetGroup>>&, bool) const","Phase2EndcapRing.cc","0"
"Eigen::PlainObjectBase<Eigen::Matrix<float, (int)8, (int)8, (int)0, (int)8, (int)8>>::coeffRef","0.0235777","[Unknown]","Eigen::PlainObjectBase<Eigen::Matrix<float, (int)8, (int)8, (int)0, (int)8, (int)8>>::coeffRef(long, long)","PlainObjectBase.h","0"
"HBHERecHit::id","0.0235367","[Unknown]","HBHERecHit::id(void) const","HBHERecHit.h","0"
"Eigen::internal::dense_assignment_loop<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>>, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>>>, Eigen::internal::assign_op<float, float>, (int)0>, (int)3, (int)0>::run","0.0235218","[Unknown]","Eigen::internal::dense_assignment_loop<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>>, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>>>, Eigen::internal::assign_op<float, float>, (int)0>, (int)3, (int)0>::run(Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>>, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>>>, Eigen::internal::assign_op<float, float>, (int)0>&)","AssignEvaluator.h","0"
"__gnu_cxx::__normal_iterator<DetId*, std::vector<DetId, std::allocator<DetId>>>::operator--","0.0234513","[Unknown]","__gnu_cxx::__normal_iterator<DetId*, std::vector<DetId, std::allocator<DetId>>>::operator--(void)","stl_iterator.h","0"
"AnalyticalCurvilinearJacobian::AnalyticalCurvilinearJacobian","0.0234168","[Unknown]","AnalyticalCurvilinearJacobian::AnalyticalCurvilinearJacobian(GlobalTrajectoryParameters const&, Point3DBase<float, GlobalTag> const&, Vector3DBase<float, GlobalTag> const&, double const&)","AnalyticalCurvilinearJacobian.cc","0"
"HcalDetId::newForm","0.0233988","[Unknown]","HcalDetId::newForm(unsigned int const&)","HcalDetId.h","0"
"TrackListMerger::produce","0.0233713","[Unknown]","TrackListMerger::produce(edm::Event&, edm::EventSetup const&)","ESHandle.h","0"
"_mm_unpackhi_pd","0.0232689","[Unknown]","_mm_unpackhi_pd(, void, _d, )","emmintrin.h","0"
"ROOT::Math::SVector<double, (unsigned int)2>::operator=","0.0232278","[Unknown]","ROOT::Math::SVector<double, (unsigned int)2>::operator=(ROOT::Math::SVector<double, (unsigned int)2> const&)","SVector.icc","0"
"KalmanVertexTrackUpdator<(unsigned int)5>::update","0.0231244","[Unknown]","KalmanVertexTrackUpdator<(unsigned int)5>::update(CachingVertex<(unsigned int)5> const&, ReferenceCountingPointer<VertexTrack<(unsigned int)5>>) const","KalmanVertexTrackUpdator.cc","0"
"std::vector<void const*, std::allocator<void const*>>::empty","0.0230266","[Unknown]","std::vector<void const*, std::allocator<void const*>>::empty(void) const","stl_vector.h","0"
"std::vector<unsigned short, std::allocator<unsigned short>>::size","0.0230058","[Unknown]","std::vector<unsigned short, std::allocator<unsigned short>>::size(void) const","stl_vector.h","0"
"Eigen::internal::unary_evaluator<Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs2_op<float>, Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)10>, (int)1, (int)-1, (bool)0> const>, Eigen::internal::IndexBased, float>::coeff","0.0229851","[Unknown]","Eigen::internal::unary_evaluator<Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs2_op<float>, Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)10>, (int)1, (int)-1, (bool)0> const>, Eigen::internal::IndexBased, float>::coeff(long, long) const","CoreEvaluators.h","0"
"tbb::interface5::tbb_hasher<char, std::char_traits<char>, std::allocator<char>>","0.0229726","[Unknown]","unsigned long tbb::interface5::tbb_hasher<char, std::char_traits<char>, std::allocator<char>>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)","_tbb_hash_compare_impl.h","0"
"PixelThresholdClusterizer::copy_to_buffer","0.022922","[Unknown]","PixelThresholdClusterizer::copy_to_buffer(__gnu_cxx::__normal_iterator<PixelDigi const*, std::vector<PixelDigi, std::allocator<PixelDigi>>>, __gnu_cxx::__normal_iterator<PixelDigi const*, std::vector<PixelDigi, std::allocator<PixelDigi>>>)","PixelThresholdClusterizer.cc","0"
"MTVHistoProducerAlgoForTracker::fill_ResoAndPull_recoTrack_histos","0.022918","[Unknown]","MTVHistoProducerAlgoForTracker::fill_ResoAndPull_recoTrack_histos(MTVHistoProducerAlgoForTrackerHistograms const&, int, ROOT::Math::DisplacementVector3D<ROOT::Math::Cartesian3D<double>, ROOT::Math::DefaultCoordinateSystemTag> const&, ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<double>, ROOT::Math::DefaultCoordinateSystemTag> const&, int, reco::Track const&, ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<double>, ROOT::Math::DefaultCoordinateSystemTag> const&) const","MTVHistoProducerAlgoForTracker.cc","0"
"Eigen::internal::dense_assignment_loop<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>, (int)-1, (int)1, (bool)1>>, Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>, (int)-1, (int)1, (bool)1>>, Eigen::internal::swap_assign_op<float>, (int)0>, (int)3, (int)0>::run","0.022861","[Unknown]","Eigen::internal::dense_assignment_loop<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>, (int)-1, (int)1, (bool)1>>, Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>, (int)-1, (int)1, (bool)1>>, Eigen::internal::swap_assign_op<float>, (int)0>, (int)3, (int)0>::run(Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>, (int)-1, (int)1, (bool)1>>, Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)8, (int)8>, (int)-1, (int)1, (bool)1>>, Eigen::internal::swap_assign_op<float>, (int)0>&)","AssignEvaluator.h","0"
"TString::operator=","0.0227813","[Unknown]","TString::operator=(char const*)","[Unknown]","0"
"sinh","0.0227269","[Unknown]","sinh","[Unknown]","0"
"boost::intrusive_ptr<VertexTrack<(unsigned int)5>>::~intrusive_ptr","0.0227268","[Unknown]","boost::intrusive_ptr<VertexTrack<(unsigned int)5>>::~intrusive_ptr(void)","intrusive_ptr.hpp","0"
"_mm_storeu_pd","0.022719","[Unknown]","_mm_storeu_pd","emmintrin.h","0"
"edm::tryToGetProductWithCoreFromRef<std::vector<reco::GenParticle, std::allocator<reco::GenParticle>>>","0.022701","[Unknown]","std::vector<reco::GenParticle, std::allocator<reco::GenParticle>> const* edm::tryToGetProductWithCoreFromRef<std::vector<reco::GenParticle, std::allocator<reco::GenParticle>>>(edm::RefCore const&, edm::EDProductGetter const*)","RefCoreGet.h","0"
"edmNew::DetSet<Phase2TrackerCluster1D>::DetSet","0.0226805","[Unknown]","edmNew::DetSet<Phase2TrackerCluster1D>::DetSet(void)","DetSetNew.h","0"
"tupledealloc","0.0226368","[Unknown]","tupledealloc","tupleobject.c","0"
"std::atomic<void const*>::operator=","0.0225659","[Unknown]","std::atomic<void const*>::operator=(void const*)","atomic","0"
"edm::RefVector<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle, edm::refhelper::FindUsingAdvance<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle>>::operator[]","0.022564","[Unknown]","edm::RefVector<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle, edm::refhelper::FindUsingAdvance<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle>>::operator[](unsigned long) const","RefVector.h","0"
"ROOT::read_edmcLcLRefVectorMemberPointersHolder_0","0.0224688","[Unknown]","ROOT::read_edmcLcLRefVectorMemberPointersHolder_0(char*, TVirtualObject*)","DataFormatsCommon_xr.cc","0"
"func@0x1f5370","0.0224681","[Unknown]","func@0x1f5370","[Unknown]","0"
"boost::archive::basic_binary_iprimitive<eos::portable_iarchive, char, std::char_traits<char>>::load<signed char>","0.0224237","[Unknown]","void boost::archive::basic_binary_iprimitive<eos::portable_iarchive, char, std::char_traits<char>>::load<signed char>(signed char&)","basic_binary_iprimitive.hpp","0"
"[Import thunk free]","0.0223851","[Unknown]","[Import thunk free]","[Unknown]","0"
"edm::Ref<std::vector<reco::GenParticle, std::allocator<reco::GenParticle>>, reco::GenParticle, edm::refhelper::FindUsingAdvance<std::vector<reco::GenParticle, std::allocator<reco::GenParticle>>, reco::GenParticle>>::Ref","0.0223842","[Unknown]","edm::Ref<std::vector<reco::GenParticle, std::allocator<reco::GenParticle>>, reco::GenParticle, edm::refhelper::FindUsingAdvance<std::vector<reco::GenParticle, std::allocator<reco::GenParticle>>, reco::GenParticle>>::Ref(edm::RefCore const&, unsigned int const&)","Ref.h","0"
"lookdict_string","0.0223461","[Unknown]","lookdict_string","dictobject.c","0"
"Basic3DVector<float>::Basic3DVector<float>","0.0223422","[Unknown]","Basic3DVector<float>::Basic3DVector<float>(mathSSE::Vec4<float> const&)","sseBasic3DVector.h","0"
"std::vector<SiPixelCluster, std::allocator<SiPixelCluster>>::_M_realloc_insert<SiPixelCluster>","0.0222901","[Unknown]","void std::vector<SiPixelCluster, std::allocator<SiPixelCluster>>::_M_realloc_insert<SiPixelCluster>(__gnu_cxx::__normal_iterator<SiPixelCluster*, std::vector<SiPixelCluster, std::allocator<SiPixelCluster>>>, SiPixelCluster&&)","vector.tcc","0"
"ROOT::Detail::TCollectionProxyInfo::Pushback<ROOT::Internal::TStdBitsetHelper<std::bitset<(unsigned long)15>>>::feed","0.0222755","[Unknown]","ROOT::Detail::TCollectionProxyInfo::Pushback<ROOT::Internal::TStdBitsetHelper<std::bitset<(unsigned long)15>>>::feed(void*, void*, unsigned long)","TCollectionProxyInfo.h","0"
"edmNew::DetSetVector<SiPixelRecHit>::FastFiller::push_back","0.0222697","[Unknown]","edmNew::DetSetVector<SiPixelRecHit>::FastFiller::push_back(SiPixelRecHit const&)","DetSetVectorNew.h","0"
"TrajectoryMeasurement::~TrajectoryMeasurement","0.0221962","[Unknown]","TrajectoryMeasurement::~TrajectoryMeasurement(void)","TrajectoryMeasurement.h","0"
"MeasurementDetWithData::measurements","0.0221731","[Unknown]","MeasurementDetWithData::measurements(TrajectoryStateOnSurface const&, MeasurementEstimator const&, tracking::TempMeasurements&) const","MeasurementDetWithData.h","0"
"clang::Sema::CheckTemplateIdType","0.0221092","[Unknown]","clang::Sema::CheckTemplateIdType(clang::TemplateName, clang::SourceLocation, clang::TemplateArgumentListInfo&)","[Unknown]","0"
"Eigen::internal::redux_impl<Eigen::internal::scalar_sum_op<float, float>, Eigen::internal::redux_evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::Transpose<Eigen::Block<Eigen::Transpose<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8>> const, (int)1, (int)-1, (bool)1> const> const, Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8> const, (int)-1, (int)1, (bool)1> const>>, (int)3, (int)0>::run<Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::Transpose<Eigen::Block<Eigen::Transpose<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8>> const, (int)1, (int)-1, (bool)1> const> const, Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8> const, (int)-1, (int)1, (bool)1> const>>","0.0221089","[Unknown]","float Eigen::internal::redux_impl<Eigen::internal::scalar_sum_op<float, float>, Eigen::internal::redux_evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::Transpose<Eigen::Block<Eigen::Transpose<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8>> const, (int)1, (int)-1, (bool)1> const> const, Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8> const, (int)-1, (int)1, (bool)1> const>>, (int)3, (int)0>::run<Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::Transpose<Eigen::Block<Eigen::Transpose<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8>> const, (int)1, (int)-1, (bool)1> const> const, Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8> const, (int)-1, (int)1, (bool)1> const>>(Eigen::internal::redux_evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::Transpose<Eigen::Block<Eigen::Transpose<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8>> const, (int)1, (int)-1, (bool)1> const> const, Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8> const, (int)-1, (int)1, (bool)1> const>> const&, Eigen::internal::scalar_sum_op<float, float> const&, Eigen::CwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::Transpose<Eigen::Block<Eigen::Transpose<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8>> const, (int)1, (int)-1, (bool)1> const> const, Eigen::Block<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8> const, (int)-1, (int)1, (bool)1> const> const&)","Redux.h","0"
"std::operator==<char>","0.0220942","[Unknown]","__gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>> const&)","basic_string.h","0"
"BasicSingleTrajectoryState::~BasicSingleTrajectoryState","0.0220421","[Unknown]","BasicSingleTrajectoryState::~BasicSingleTrajectoryState(void)","BasicSingleTrajectoryState.h","0"
"TrajectoryCleanerBySharedHits::clean","0.0220167","[Unknown]","TrajectoryCleanerBySharedHits::clean(std::vector<Trajectory*, std::allocator<Trajectory*>>&) const","Trajectory.h","0"
"edm::RefVectorIterator<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle, edm::refhelper::FindUsingAdvance<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle>>::operator++","0.0219975","[Unknown]","edm::RefVectorIterator<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle, edm::refhelper::FindUsingAdvance<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle>>::operator++(void)","RefVectorIterator.h","0"
"std::use_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char>>>>","0.0219886","[Unknown]","std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char>>> const& std::use_facet<std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char>>>>(std::locale const&)","locale_classes.tcc","0"
"TempTrajectory::numberOfCCCBadHits","0.0219645","[Unknown]","TempTrajectory::numberOfCCCBadHits(float)","TempTrajectory.cc","0"
"HBHEChannelInfo::setSample","0.0219552","[Unknown]","HBHEChannelInfo::setSample(unsigned int, unsigned char, float, double, double, double, double, double, float)","HBHEChannelInfo.h","0"
"edm::refitem::GetRefPtrImpl<edm::HepMCProduct, HepMC::GenVertex, edm::refhelper::FindTrait<edm::HepMCProduct, HepMC::GenVertex>::Find, int>::getRefPtr_","0.0219531","[Unknown]","edm::refitem::GetRefPtrImpl<edm::HepMCProduct, HepMC::GenVertex, edm::refhelper::FindTrait<edm::HepMCProduct, HepMC::GenVertex>::Find, int>::getRefPtr_(edm::RefCore const&, int const&)","RefItemGet.h","0"
"std::_Rb_tree_rebalance_for_erase","0.0219002","[Unknown]","std::_Rb_tree_rebalance_for_erase(std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)","tree.cc","0"
"__acosf_finite","0.0218528","[Unknown]","__acosf_finite","[Unknown]","0"
"Eigen::internal::dense_assignment_loop<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)7, (int)7, (int)0, (int)7, (int)7>, (int)-1, (int)1, (bool)0>>, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)7, (int)1>>>, Eigen::internal::div_assign_op<float, float>, (int)0>, (int)3, (int)0>::run","0.0217239","[Unknown]","Eigen::internal::dense_assignment_loop<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)7, (int)7, (int)0, (int)7, (int)7>, (int)-1, (int)1, (bool)0>>, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)7, (int)1>>>, Eigen::internal::div_assign_op<float, float>, (int)0>, (int)3, (int)0>::run(Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)7, (int)7, (int)0, (int)7, (int)7>, (int)-1, (int)1, (bool)0>>, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)7, (int)1>>>, Eigen::internal::div_assign_op<float, float>, (int)0>&)","AssignEvaluator.h","0"
"HGCalGeomParameters::loadGeometryHexagon8","0.0217225","[Unknown]","HGCalGeomParameters::loadGeometryHexagon8(DDFilteredView const&, HGCalParameters&, int)","HGCalGeomParameters.cc","0"
"vdt::fast_sincos","0.0216889","[Unknown]","vdt::fast_sincos(double, double&, double&)","sincos.h","0"
"std::vector<edm::RefToBase<reco::Track>, std::allocator<edm::RefToBase<reco::Track>>>::reserve","0.0216648","[Unknown]","std::vector<edm::RefToBase<reco::Track>, std::allocator<edm::RefToBase<reco::Track>>>::reserve(unsigned long)","vector.tcc","0"
"func@0x2aea0","0.0215226","[Unknown]","func@0x2aea0","[Unknown]","0"
"Eigen::internal::binary_evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::Product<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8>, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)8, (int)1>, (int)0> const, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)10, (int)1> const>, Eigen::internal::IndexBased, Eigen::internal::IndexBased, float, float>::coeff","0.0214745","[Unknown]","Eigen::internal::binary_evaluator<Eigen::CwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::Product<Eigen::Matrix<float, (int)-1, (int)-1, (int)0, (int)10, (int)8>, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)8, (int)1>, (int)0> const, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)10, (int)1> const>, Eigen::internal::IndexBased, Eigen::internal::IndexBased, float, float>::coeff(long) const","CoreEvaluators.h","0"
"fastjet::LazyTiling9::_set_NN","0.0213491","[Unknown]","fastjet::LazyTiling9::_set_NN(fastjet::TiledJet*, std::vector<fastjet::TiledJet*, std::allocator<fastjet::TiledJet*>>&)","LazyTiling9.cc","0"
"dqm::impl::MonitorElement::Fill","0.021338","[Unknown]","dqm::impl::MonitorElement::Fill(int)","MonitorElement.h","0"
"__init__","0.0212945","[Unknown]","_SimpleParameterTypeBase.__init__(self, value)","Mixins.py","0"
"func@0x50e80","0.0211296","[Unknown]","func@0x50e80","[Unknown]","0"
"TrajectorySegmentBuilder::updateWithInvalidHit","0.0210814","[Unknown]","TrajectorySegmentBuilder::updateWithInvalidHit(TempTrajectory&, std::vector<TrajectoryMeasurementGroup, std::allocator<TrajectoryMeasurementGroup>> const&, std::vector<TempTrajectory, std::allocator<TempTrajectory>>&) const","TrajectorySegmentBuilder.cc","0"
"edm::refitem::GetRefPtrImpl<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle, edm::refhelper::FindUsingAdvance<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle>, unsigned int>::getRefPtr_","0.0210692","[Unknown]","edm::refitem::GetRefPtrImpl<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle, edm::refhelper::FindUsingAdvance<std::vector<TrackingParticle, std::allocator<TrackingParticle>>, TrackingParticle>, unsigned int>::getRefPtr_(edm::RefCore const&, unsigned int)","atomic_base.h","0"
"edm::reftobase::IndirectHolder<reco::Track>::~IndirectHolder","0.0210533","[Unknown]","edm::reftobase::IndirectHolder<reco::Track>::~IndirectHolder(void)","IndirectHolder.h","0"
"LocalTrajectoryParameters::updateP","0.0210492","[Unknown]","LocalTrajectoryParameters::updateP(float)","LocalTrajectoryParameters.h","0"
"clang::OverloadCandidateSet::addCandidate","0.0210486","[Unknown]","clang::OverloadCandidateSet::addCandidate(unsigned int, llvm::MutableArrayRef<clang::ImplicitConversionSequence>)","[Unknown]","0"
"func@0x2b150","0.0210485","[Unknown]","func@0x2b150","[Unknown]","0"
"TrackAnalyzer::Key::operator==","0.0209978","[Unknown]","TrackAnalyzer::Key::operator==(TrackAnalyzer::Key const&) const","TrackAnalyzer.h","0"
"LocalTrajectoryParameters::vector","0.0209612","[Unknown]","LocalTrajectoryParameters::vector(void) const","LocalTrajectoryParameters.h","0"
"__gnu_cxx::operator-<edm::DetSet<PixelDigiSimLink> const*, std::vector<edm::DetSet<PixelDigiSimLink>, std::allocator<edm::DetSet<PixelDigiSimLink>>>>","0.0209372","[Unknown]","__gnu_cxx::__normal_iterator<edm::DetSet<PixelDigiSimLink> const*, std::vector<edm::DetSet<PixelDigiSimLink>, std::allocator<edm::DetSet<PixelDigiSimLink>>>>::difference_type __gnu_cxx::operator-<edm::DetSet<PixelDigiSimLink> const*, std::vector<edm::DetSet<PixelDigiSimLink>, std::allocator<edm::DetSet<PixelDigiSimLink>>>>(__gnu_cxx::__normal_iterator<edm::DetSet<PixelDigiSimLink> const*, std::vector<edm::DetSet<PixelDigiSimLink>, std::allocator<edm::DetSet<PixelDigiSimLink>>>> const&, __gnu_cxx::__normal_iterator<edm::DetSet<PixelDigiSimLink> const*, std::vector<edm::DetSet<PixelDigiSimLink>, std::allocator<edm::DetSet<PixelDigiSimLink>>>> const&)","stl_iterator.h","0"
"Eigen::internal::unaligned_dense_assignment_loop<(bool)0>::run<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)5, (int)5, (int)0, (int)5, (int)5>, (int)-1, (int)1, (bool)0>>, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)5, (int)1>>>, Eigen::internal::div_assign_op<float, float>, (int)0>>","0.0208321","[Unknown]","void Eigen::internal::unaligned_dense_assignment_loop<(bool)0>::run<Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)5, (int)5, (int)0, (int)5, (int)5>, (int)-1, (int)1, (bool)0>>, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)5, (int)1>>>, Eigen::internal::div_assign_op<float, float>, (int)0>>(Eigen::internal::generic_dense_assignment_kernel<Eigen::internal::evaluator<Eigen::Block<Eigen::Matrix<float, (int)5, (int)5, (int)0, (int)5, (int)5>, (int)-1, (int)1, (bool)0>>, Eigen::internal::evaluator<Eigen::CwiseNullaryOp<Eigen::internal::scalar_constant_op<float>, Eigen::Matrix<float, (int)-1, (int)1, (int)0, (int)5, (int)1>>>, Eigen::internal::div_assign_op<float, float>, (int)0>&, long, long)","AssignEvaluator.h","0"
"edm::Ptr<reco::Track>::Ptr","0.0208315","[Unknown]","edm::Ptr<reco::Track>::Ptr(edm::Ptr<reco::Track> const&)","Ptr.h","0"
